자치구,인구 규모 2015,한국인 2015,외국인 2015,고령자 2015,외국인 비율 2015,고령자 비율 2015,인구 규모 2018,한국인 2018,외국인 2018,고령자 2018,외국인 비율 2018,고령자 비율 2018,CCTV 규모 2015,CCTV 규모 2018,CCTV 비율 2015,CCTV 비율 2018
종로구,163822,154986,8836,24892,5.393658971322533,15.194540415817167,163026,153065,9961,26742,6.110068332658594,16.40351845717861,941.0,1471.0,0.5744039262125966,0.9023100609718695
중구,134329,125733,8596,20302,6.39921387042262,15.113638901503027,135633,125725,9908,22005,7.305006893602589,16.223927805180153,629.0,1544.0,0.46825331834525685,1.1383660318654014
용산구,247909,233342,14567,35715,5.875946415821934,14.406495931975039,245090,228999,16091,37640,6.5653433432616595,15.357623730058345,1841.0,2063.0,0.7426112000774479,0.8417316087967684
성동구,305065,297003,8062,38164,2.6427154868634553,12.510120793929163,316463,308221,8242,42767,2.6044118901735747,13.514060095492997,1251.0,2679.0,0.41007654106501895,0.8465444617538228
광진구,375180,360369,14811,40368,3.9477051015512554,10.759635375019991,371063,355559,15504,45619,4.178266224333873,12.29413873115886,746.0,1581.0,0.19883789114558348,0.42607320050773045
동대문구,373824,360153,13671,52490,3.657068567026194,14.041367060434856,364338,348052,16286,57165,4.470025086595414,15.690100950216557,1437.0,2003.0,0.3844054956343092,0.5497642299183725
중랑구,418620,413909,4711,54095,1.1253642921981748,12.922220629688022,408147,403209,4938,61830,1.209858212849782,15.14895368580438,872.0,1068.0,0.20830347331708948,0.2616704275665385
성북구,469560,459275,10285,63281,2.1903484112786438,13.476658999914815,447687,435868,11819,67782,2.6400141170058546,15.14048877899068,1687.0,3003.0,0.3592725104353011,0.6707811484362959
강북구,334426,330873,3553,52598,1.062417395776644,15.727844126951851,322915,319164,3751,58196,1.1616059953857827,18.022080113961877,691.0,1265.0,0.2066226908194937,0.39174395738816714
도봉구,353241,351242,1999,48590,0.5659025990754187,13.755481385229915,341649,339413,2236,55964,0.6544728654262122,16.380554311588792,515.0,858.0,0.14579281566975522,0.251134936733314
노원구,578221,574583,3638,68909,0.6291711992473467,11.917415659410501,548160,543752,4408,77096,0.8041447752481027,14.06450671336836,1342.0,1906.0,0.23209119004671225,0.34770869819030936
은평구,502578,497920,4658,69753,0.9268213093290992,13.879039671453983,487666,483197,4469,77420,0.9164059007599463,15.875619788953916,2070.0,2962.0,0.41187636545968986,0.60738292191787
서대문구,323105,312141,10964,46758,3.3933241515915875,14.471456647219943,323080,310313,12767,50456,3.9516528414015104,15.61718459824192,1235.0,2121.0,0.38222868726884446,0.6564937476785935
마포구,398351,387643,10708,48598,2.6880816164638723,12.199793649319318,386359,375077,11282,50833,2.9200820998087273,13.156934353800482,1009.0,1935.0,0.2532942053616032,0.5008295393662371
양천구,489010,484532,4478,50398,0.9157276947301691,10.306128709024355,468145,464185,3960,58045,0.8458917643037948,12.398936227023679,1459.0,2775.0,0.29835790679127216,0.5927650621068259
강서구,595691,589074,6617,67950,1.1108108062737225,11.406920702176128,603611,596949,6662,79660,1.103690953279513,13.197241269625637,909.0,1617.0,0.15259589283705813,0.2678877621514518
구로구,454604,422092,32512,53719,7.151718858611011,11.81665801444774,438486,404497,33989,61801,7.751444743959898,14.094178605474292,1875.0,3227.0,0.41244687684226267,0.7359413983570741
금천구,256167,236284,19883,31070,7.76173355662517,12.1288065988203,254021,233917,20104,35739,7.914306297510835,14.069309230339226,769.0,1634.0,0.3001947948018285,0.6432539042047705
영등포구,417811,378504,39307,51481,9.407842301902056,12.321599957875689,403600,367778,35822,55673,8.87561942517344,13.79410307234886,1042.0,2495.0,0.24939506140336182,0.6181863230921705
동작구,412774,400641,12133,53610,2.9393808718572387,12.98773663069864,409385,396203,13182,59479,3.2199518790380695,14.528866470437363,993.0,1780.0,0.24056747760275599,0.4347985392723231
관악구,529031,509663,19368,64985,3.6610330963591924,12.283779211426173,520040,501957,18083,72249,3.47723252057534,13.892969771556036,2001.0,3985.0,0.3782387043481384,0.7662872086762557
서초구,451258,446764,4494,49280,0.9958826214715307,10.920582017382516,438163,433951,4212,54751,0.9612860967265607,12.49557812960017,1840.0,2835.0,0.40774900389577584,0.6470194881813389
강남구,581760,576495,5265,60330,0.9050123762376237,10.370255775577558,547453,542364,5089,67085,0.9295775162434036,12.254019979797352,3431.0,5221.0,0.5897621012101211,0.9536891751438024
송파구,667480,660302,7178,68292,1.0753880266075388,10.231317792293403,673507,666635,6872,81364,1.0203308948533572,12.080646526316727,974.0,1586.0,0.14592197519026787,0.23548381828251227
강동구,463321,458658,4663,51935,1.006429667552302,11.209291182571047,431920,427573,4347,58770,1.0064363771068716,13.606686423411743,1027.0,1879.0,0.2216605765764988,0.4350342656047416
